! Name of species
H2O
! Number of parameters
5
! Parameter name, Number of different values, values
NHTOT
15
1.000e+02
1.000e+03
1.000e+04
3.162e+04
1.000e+05
3.162e+05
1.000e+06
3.162e+06
1.000e+07
3.162e+07
1.000e+08
3.162e+08
1.000e+09
3.162e+09
1.000e+10
T
17
1.000e+01
1.500e+01
1.800e+01
2.000e+01
2.200e+01
2.500e+01
3.000e+01
4.000e+01
5.000e+01
7.000e+01
9.000e+01
1.000e+02
1.100e+02
1.300e+02
2.000e+02
4.000e+02
1.000e+03
Alpha_UV
12
1.000e-01
1.000e+00
3.162e+00
1.000e+01
3.162e+01
1.000e+02
3.162e+02
1.000e+03
3.162e+03
1.000e+04
1.000e+05
1.000e+06
Beta_UV
8
1.000e-03
1.000e-02
1.000e-01
3.162e-01
1.000e+00
3.162e+00
1.000e+01
1.000e+02
Zeta
1
5.000e-17
! Number of timesteps / Time in s
5
1.000e+11
3.162e+11
1.000e+12
3.162e+12
1.000e+13
! Parameters (NHTOT,T,Alpha_uv,Beta_uv,Zeta) / Fractional abundance (for each timestep)
    1.000e+09    1.500e+01    1.000e+01    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+01    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+01    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+01    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+01    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+01    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+01    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+01    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+01    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+01    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+01    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+01    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+01    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+01    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+01    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+01    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+02    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+02    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+02    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+02    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+02    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+02    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+02    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+02    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+02    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+02    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+02    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+02    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+02    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+02    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+02    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+02    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+03    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+03    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+03    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+03    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+03    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+03    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+03    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+03    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+03    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+03    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+03    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+03    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+03    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+03    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+03    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    3.162e+03    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+04    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+04    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+04    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+04    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+04    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+04    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+04    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+04    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+05    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+05    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+05    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+05    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+05    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+05    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+05    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+05    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+06    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+06    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+06    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+06    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+06    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+06    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+06    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.500e+01    1.000e+06    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e-01    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e-01    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e-01    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e-01    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e-01    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e-01    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e-01    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e-01    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+00    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+00    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+00    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+00    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+00    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+00    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+00    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+00    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+00    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+00    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+00    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+00    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+00    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+00    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+00    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+00    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+01    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+01    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+01    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+01    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+01    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+01    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+01    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+01    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+01    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+01    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+01    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+01    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+01    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+01    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+01    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+01    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+02    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+02    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+02    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+02    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+02    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+02    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+02    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+02    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+02    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+02    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+02    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+02    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+02    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+02    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+02    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+02    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+03    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+03    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+03    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+03    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+03    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+03    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+03    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+03    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+03    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+03    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+03    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+03    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+03    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+03    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+03    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    3.162e+03    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+04    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+04    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+04    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+04    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+04    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+04    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+04    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+04    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+05    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+05    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+05    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+05    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+05    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+05    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+05    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+05    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+06    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+06    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+06    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+06    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+06    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+06    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+06    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    1.800e+01    1.000e+06    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e-01    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e-01    1.000e-02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e-01    1.000e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e-01    3.162e-01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e-01    1.000e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e-01    3.162e+00    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e-01    1.000e+01    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e-01    1.000e+02    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
    1.000e+09    2.000e+01    1.000e+00    1.000e-03    5.000e-17   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00   -1.000e+00
